,City,Population,Robbery,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
254,Modesto,"210,794",488,"10,123","1,639","6,749","1,735",66
255,Monrovia,"37,618",19,702,103,504,95,3
256,Montague3,"1,385",0,19,6,12,1,0
257,Montclair,"38,899",76,"1,740",254,"1,105",381,11
258,Montebello3,"64,280",73,"1,682",582,597,503,20
259,Monterey,"28,491",42,998,167,755,76,5
260,Monterey Park3,"61,750",57,"1,349",378,728,243,3
261,Monte Sereno,"3,582",0,41,10,28,3,0
262,Moorpark,"35,804",7,336,78,233,25,1
263,Moraga,"17,284",2,202,41,136,25,1
264,Moreno Valley,"205,182",275,"6,663","1,190","4,312","1,161",13
265,Morgan Hill3,"43,154",16,730,100,520,110,3
266,Morro Bay,"10,620",4,276,54,211,11,0
267,Mountain View,"80,705",31,"2,030",327,"1,561",142,7
268,Mount Shasta3,"3,258",2,50,6,40,4,1
269,Murrieta,"109,495",30,"1,700",287,"1,173",240,12
270,Napa,"80,749",30,"1,412",355,905,152,6
271,National City,"60,768",142,"1,449",183,942,324,14
272,Needles,"4,998",4,185,80,82,23,5
273,Nevada City3,"3,020",2,109,27,68,14,3
274,Newark,"45,258",54,"1,168",287,701,180,8
275,Newman,"10,881",2,147,29,86,32,0
276,Newport Beach,"87,749",24,"2,181",394,"1,652",135,4
277,Norco,"26,925",19,709,135,505,69,0
278,Norwalk,"107,470",131,"1,910",395,"1,087",428,6
279,Novato,"55,782",27,"1,032",219,676,137,18
280,Oakdale,"22,137",14,861,167,628,66,6
281,Oakland,"419,481","3,290","24,568","3,333","14,846","6,389",179
282,Oakley,"40,163",21,592,91,305,196,4
283,Oceanside,"176,319",216,"4,597",589,"3,541",467,15
284,Ojai,"7,665",1,66,15,49,2,0
285,Ontario,"170,274",217,"5,169",897,"3,206","1,066",32
286,Orange3,"140,572",62,"2,897",525,"2,016",356,8
287,Orange Cove,"9,715",5,150,41,62,47,0
288,Orinda,"19,311",3,229,50,164,15,0
289,Orland3,"7,549",4,119,27,76,16,0
290,Oroville3,"16,289",31,"1,143",264,710,169,4
291,Oxnard,"207,221",385,"6,696","1,103","4,758",835,24
292,Pacifica,"39,531",17,703,138,492,73,3
293,Pacific Grove,"15,734",3,288,51,219,18,0
294,Palmdale,"159,613",251,"2,988",803,"1,730",455,22
295,Palm Desert,"51,847",41,"2,299",375,"1,788",136,3
296,Palm Springs,"47,388",84,"3,029",898,"1,790",341,10
297,Palo Alto3,"67,560",26,"1,704",213,"1,405",86,6
298,Palos Verdes Estates,"13,739",4,169,82,78,9,2
299,Paradise3,"26,514",11,521,212,245,64,5
300,Paramount,"55,727",121,"1,692",246,956,490,3
301,Parlier,"15,106",8,240,76,109,55,14
302,Pasadena3,"141,815",131,"3,693",830,"2,540",323,45
303,Paso Robles3,"31,659",12,"1,106",169,848,89,1
304,Patterson3,"21,410",16,498,132,250,116,3
305,Perris,"75,036",76,"1,833",323,"1,025",485,2
306,Petaluma,"60,450",42,"1,338",206,"1,046",86,14
307,Pico Rivera,"64,551",74,"1,451",263,803,385,10
308,Piedmont,"11,372",2,206,51,117,38,0
309,Pinole,"19,284",30,885,109,702,74,2
310,Pismo Beach3,"7,998",5,527,142,361,24,2
311,Pittsburg,"69,340",127,"2,416",461,"1,152",803,12
312,Placentia3,"52,753",17,746,132,518,96,1
313,Placerville3,"10,601",2,322,53,219,50,0
314,Pleasant Hill,"34,829",42,"1,888",215,"1,499",174,8
315,Pleasanton,"79,611",40,"1,644",232,"1,253",159,5
316,Pomona3,"154,410",291,"4,507",692,"2,559","1,256",39
317,Porterville,"55,760",41,"1,384",314,844,226,1
318,Port Hueneme,"22,249",24,453,109,281,63,3
319,Poway,"50,327",13,512,115,367,30,2
320,Rancho Cordova,"70,955",104,"1,726",346,"1,183",197,1
321,Rancho Cucamonga,"176,376",97,"3,936",930,"2,569",437,6
322,Rancho Mirage,"18,156",6,769,177,531,61,0
323,Rancho Palos Verdes,"42,993",12,551,207,305,39,2
324,Rancho Santa Margarita,"49,719",9,303,45,249,9,1
325,Red Bluff,"14,045",25,995,221,675,99,3
326,Redding,"92,020",145,"4,169",769,"2,888",512,11
327,Redlands,"71,078",74,"3,211",514,"2,264",433,14
328,Redondo Beach,"68,492",70,"1,757",348,"1,244",165,0
329,Redwood City,"84,415",88,"1,842",362,"1,274",206,10
330,Reedley,"25,711",16,482,138,254,90,3
331,Rialto,"103,590",153,"2,218",684,813,721,11
332,Ridgecrest,"28,989",19,583,160,372,51,8
333,Rio Dell3,"3,378",3,59,19,24,16,0
334,Rio Vista,"8,250",0,108,31,64,13,0
335,Ripon,"15,126",4,244,25,186,33,0
336,Riverbank3,"24,061",16,616,130,443,43,0
337,Riverside,"323,064",520,"10,531","1,633","7,144","1,754",71
338,Rocklin,"61,105",19,"1,203",164,938,101,7
339,Rohnert Park,"42,622",46,"1,028",168,712,148,7
340,Rolling Hills,"1,912",0,13,9,4,0,0
341,Rolling Hills Estates,"8,296",4,109,48,56,5,1
342,Rosemead,"55,231",73,"1,247",269,657,321,4
343,Roseville,"131,039",84,"3,295",521,"2,469",305,10
344,Ross,"2,500",0,39,15,21,3,0
345,Sacramento,"489,717","1,174","16,501","3,713","9,865","2,923",140
346,Salinas,"158,185",369,"4,145",679,"1,534","1,932",19
347,San Bernardino,"216,477",968,"10,390","3,164","4,210","3,016",65
348,San Bruno,"43,499",29,"1,108",166,803,139,6
349,San Clemente,"65,755",16,771,163,534,74,7
350,Sand City,339,5,136,5,122,9,1
